12:42:05.594 leos [qtp121486885-107] [] WARN  com.vaadin.spring.internal.BeanStore - Storing non-serializable bean [eu.europa.ec.leos.web.support.vaadin.NotificationManager@3c841d1c] with name [notificationManager] in [UIBeanStore[id=1d5189d5, name=UI:0]]
12:42:05.594 leos [qtp121486885-107] [] WARN  com.vaadin.spring.internal.BeanStore - Storing non-serializable bean [eu.europa.ec.leos.web.support.vaadin.DeadEventHandler@79452b43] with name [deadEventHandler] in [UIBeanStore[id=1d5189d5, name=UI:0]]
12:42:06.982 leos [qtp121486885-107] [] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
12:42:29.426 leos [qtp121486885-25] [] INFO  e.e.e.l.w.s.LeosSessionListener - Creating http session
12:42:29.435 leos [qtp121486885-25] [] INFO  c.v.spring.server.SpringUIProvider - Unable to create the directory [null] for caching of themes compiled on the fly
12:42:29.495 leos [qtp121486885-107] [] WARN  com.vaadin.spring.internal.BeanStore - Storing non-serializable bean [EventBus{default}] with name [eventBus] in [UIBeanStore[id=68899d7, name=UI:0]]
12:42:29.495 leos [qtp121486885-107] [] WARN  com.vaadin.spring.internal.BeanStore - Storing non-serializable bean [eu.europa.ec.leos.web.support.vaadin.NotificationManager@52a9b77c] with name [notificationManager] in [UIBeanStore[id=68899d7, name=UI:0]]
12:42:29.495 leos [qtp121486885-107] [] WARN  com.vaadin.spring.internal.BeanStore - Storing non-serializable bean [eu.europa.ec.leos.web.support.vaadin.DeadEventHandler@58730f6d] with name [deadEventHandler] in [UIBeanStore[id=68899d7, name=UI:0]]
14:02:02.388 leos [qtp121486885-22] [] INFO  e.e.e.l.w.s.LeosSessionListener - Creating http session
14:02:02.400 leos [qtp121486885-26] [] INFO  e.e.e.l.w.s.LeosSessionListener - Creating http session
14:02:02.432 leos [qtp121486885-27] [] INFO  e.e.e.l.w.s.LeosSessionListener - Creating http session
14:02:02.439 leos [qtp121486885-107] [] INFO  e.e.e.l.w.s.LeosSessionListener - Creating http session
14:06:20.289 leos [qtp121486885-26] [] WARN  com.vaadin.spring.internal.BeanStore - Storing non-serializable bean [EventBus{default}] with name [eventBus] in [UIBeanStore[id=1449a035, name=UI:0]]
14:06:20.301 leos [qtp121486885-26] [] WARN  com.vaadin.spring.internal.BeanStore - Storing non-serializable bean [eu.europa.ec.leos.web.support.vaadin.NotificationManager@543aff92] with name [notificationManager] in [UIBeanStore[id=1449a035, name=UI:0]]
14:06:20.304 leos [qtp121486885-26] [] WARN  com.vaadin.spring.internal.BeanStore - Storing non-serializable bean [eu.europa.ec.leos.web.support.vaadin.DeadEventHandler@458211e] with name [deadEventHandler] in [UIBeanStore[id=1449a035, name=UI:0]]
